Brand,Benchmark Family,Name,Ticker,Dissemination(s),Launch Date,Inception Date,Factsheet
Kaiko,Sector & Thematic,Kaiko AI Index,KSAI,"Real-time (5 sec), NYC, LDN, SGP","January 23, 2025","October 3, 2022","<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/New%20Benchmark%20Factsheets/Kaiko%20Benchmarks%20-%20Sector%20&%20Thematic%20family%20factsheet.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Sector & Thematic,Kaiko Meme Index,KSMEME,"Real-time (5 sec), NYC, LDN, SGP","January 22, 2025","April 3, 2023","<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/New%20Benchmark%20Factsheets/Kaiko%20Benchmarks%20-%20Sector%20&%20Thematic%20family%20factsheet.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Sector & Thematic,Kaiko DeFi Index,KSDEFI,"Real-time (5 sec), NYC, LDN, SGP","January 17, 2025","April 3, 2023","<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/New%20Benchmark%20Factsheets/Kaiko%20Benchmarks%20-%20Sector%20&%20Thematic%20family%20factsheet.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Sector & Thematic,Kaiko L2 Index,KSL2,"Real-time (5 sec), NYC, LDN, SGP","July 2, 2024","April 3, 2023","<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/New%20Benchmark%20Factsheets/Kaiko%20Benchmarks%20-%20Sector%20&%20Thematic%20family%20factsheet.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Sector & Thematic,Vinter Cardano Yield Index ,CASL,LDN Fixing,"November 10, 2022","March 06, 2024","<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/CASL%20-%20Fact%20Sheet%20-%20multi-asset_casl_end=2025-03-12&start=2020-12-31.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Sector & Thematic,Sygnum Platform Winners Index ,MOON,17:00 CET Fixing,"July 21, 2022","November 01, 2019","<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/MOON%20-%20Fact%20Sheet%20-%20multi-asset_moon_end=2025-03-12&start=2020-12-31.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Sector & Thematic,Vinter CF Crypto Web3 Index,VCFWB3,LDN Fixing,"May 15, 2023","January 01, 2021","<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/VCFWB3%20-%20Fact%20Sheet%20-multi-asset_vcfwb3_end=2025-03-12&start=2020-12-31.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Market,Kaiko Standard Index,KMSTA,"Real-time (5 sec), NYC, LDN, SGP","January 23, 2025","April 1, 2014","<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/New%20Benchmark%20Factsheets/Kaiko%20Benchmarks%20-%20Market%20family%20factsheet.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Market,Kaiko Small Cap Index,KMSMA,"Real-time (5 sec), NYC, LDN, SGP","January 23, 2025","January 2, 2015","<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/New%20Benchmark%20Factsheets/Kaiko%20Benchmarks%20-%20Market%20family%20factsheet.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Market,Kaiko Mid Cap Index,KMMID,"Real-time (5 sec), NYC, LDN, SGP","January 23, 2025","April 2, 2018","<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/New%20Benchmark%20Factsheets/Kaiko%20Benchmarks%20-%20Market%20family%20factsheet.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Market,Kaiko Large Cap Index,KMLAR,"Real-time (5 sec), NYC, LDN, SGP","January 23, 2025","April 1, 2014","<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/New%20Benchmark%20Factsheets/Kaiko%20Benchmarks%20-%20Market%20family%20factsheet.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Market,Kaiko Investable Index,KMINV,"Real-time (5 sec), NYC, LDN, SGP","January 23, 2025","April 1, 2014","<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/New%20Benchmark%20Factsheets/Kaiko%20Benchmarks%20-%20Market%20family%20factsheet.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Market,Vinter 21Shares Crypto Mid-Cap Index ,ALTS,LDN Fixing,"December 14, 2021","January 01, 2021","<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/ALTS%20-%20Fact%20Sheet%20-%20multi-asset_alts_end=2025-03-12&start=2020-12-31.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Market,Vinter 21Shares Crypto Staking Index ,STAKE,LDN Fixing,"January 18, 2023","January 01, 2021","<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/multi-asset_stake_end=2025-03-12&start=2020-12-31.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Market,Vinter BOLD Index,VBNGD,LDN Fixing,"November 10, 2023","January 01, 2020","<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/VBNGD%20-%20Fact%20Sheet%20-%20multi-asset_vbngd_end=2025-03-12&start=2020-12-31.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Market,Vinter CF Crypto Momentum Index,VCFMOM,LDN Fixing,"May 15, 2023","January 01, 2021","<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/VCFMOM%20-%20Fact%20Sheet%20-multi-asset_vcfmom_end=2025-03-12&start=2020-12-31.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Market,Vinter Diffuse Digital 30 Index,DDV,LDN Fixing,"July 02, 2022","January 01, 2021","<a href=""https://marketing.kaiko.com/hubfs/Factsheets%20and%20Methodologies/DDV%20-%20Fact%20Sheet%20-%20multi-asset_ddv_end=2025-03-12&start=2020-12-31.pdf"" target=""_blank"">View Factsheet</a>"
Kaiko,Market,Vinter Hashdex Risk Parity Momentum Crypto Index,VHASHMOM,17:00 CET Fixing,"September 05, 2022","January 01, 2021","<a href=""https://marketing.kaiko.com/hubfs/VHASHMOM%20Kaiko%20Factsheet.pdf"" target=""_blank"">View Factsheet</a>"
